1773734522.5415506 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-03-17-01-02-02-536444-ubuntu-8725
1773734522.5421531 [INFO] [launch]: Default logging verbosity is set to INFO
1773734522.6389515 [INFO] [logical-1]: process started with pid [8747]
1773734523.5296717 [logical-1] [INFO] [1773734523.529237902] [Ground]: ros2 node launch success:Ground!
1773735445.1128514 [logical-1] [INFO] [1773735445.112321705] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735459.2060726 [logical-1] [INFO] [1773735459.205723572] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735460.0669696 [logical-1] [INFO] [1773735460.066553245] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735468.7981043 [logical-1] [INFO] [1773735468.797750640] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735469.4248490 [logical-1] [INFO] [1773735469.424548659] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735470.1196713 [logical-1] [INFO] [1773735470.119399527] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735471.2992444 [logical-1] [INFO] [1773735471.298945142] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735472.2835741 [logical-1] [INFO] [1773735472.283278271] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735473.4791453 [logical-1] [INFO] [1773735473.478846131] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735476.4656067 [logical-1] [INFO] [1773735476.465298476] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735477.8211560 [logical-1] [INFO] [1773735477.820859575] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735494.6574044 [logical-1] [INFO] [1773735494.657101331] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735496.1481733 [logical-1] [INFO] [1773735496.147859360] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735497.6733112 [logical-1] [INFO] [1773735497.673045422] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735498.7788320 [logical-1] [INFO] [1773735498.778522459] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735500.1966193 [logical-1] [INFO] [1773735500.196183411] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773735574.7166545 [logical-1] [INFO] [1773735574.716324995] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735852.2148430 [logical-1] [INFO] [1773735852.214380576] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735853.4980187 [logical-1] [INFO] [1773735853.497735483] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773735997.7900784 [logical-1] [INFO] [1773735997.789663280] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736000.5675955 [logical-1] [INFO] [1773736000.567291269] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736245.0554430 [logical-1] [INFO] [1773736245.055065018] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736274.8537531 [logical-1] [INFO] [1773736274.853295439] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736335.1581967 [logical-1] [INFO] [1773736335.157869903] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736379.1263957 [logical-1] [INFO] [1773736379.126083828] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736385.9297190 [logical-1] [INFO] [1773736385.929183052] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736463.6573496 [logical-1] [INFO] [1773736463.657046046] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736465.2041893 [logical-1] [INFO] [1773736465.203884708] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736550.1243823 [logical-1] [INFO] [1773736550.124062085] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736550.8316369 [logical-1] [INFO] [1773736550.831334621] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736551.1782498 [logical-1] [INFO] [1773736551.177955369] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736551.5448422 [logical-1] [INFO] [1773736551.544495507] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736556.9882717 [logical-1] [INFO] [1773736556.987846110] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736584.7735324 [logical-1] [INFO] [1773736584.773015498] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736585.2946451 [logical-1] [INFO] [1773736585.294287163] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736586.9032764 [logical-1] [INFO] [1773736586.902972114] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736648.9575853 [logical-1] [INFO] [1773736648.957206080] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773736760.0199163 [logical-1] [INFO] [1773736760.019611284] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737102.4207079 [logical-1] [INFO] [1773737102.420095160] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737113.1902931 [logical-1] [INFO] [1773737113.189931027] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737114.2836251 [logical-1] [INFO] [1773737114.283317237] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737114.7715616 [logical-1] [INFO] [1773737114.771225382] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737114.9894354 [logical-1] [INFO] [1773737114.989083233] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737115.3083727 [logical-1] [INFO] [1773737115.308035283] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737115.7865951 [logical-1] [INFO] [1773737115.786300903] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737115.9037859 [logical-1] [INFO] [1773737115.903449877] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737116.2567389 [logical-1] [INFO] [1773737116.256444824] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737116.5799644 [logical-1] [INFO] [1773737116.579636746] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737117.0061607 [logical-1] [INFO] [1773737117.005869228] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737117.4026856 [logical-1] [INFO] [1773737117.402409063] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737153.6510296 [logical-1] [INFO] [1773737153.650733084] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737155.1656272 [logical-1] [INFO] [1773737155.165385314] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737264.1381774 [logical-1] [INFO] [1773737264.137768667] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737268.3160417 [logical-1] [INFO] [1773737268.315745901] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737268.7625628 [logical-1] [INFO] [1773737268.762218935] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737268.9872172 [logical-1] [INFO] [1773737268.986922319] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737269.1920784 [logical-1] [INFO] [1773737269.191736332] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737269.3792796 [logical-1] [INFO] [1773737269.378974977] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737269.5164111 [logical-1] [INFO] [1773737269.516113438] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737269.6762161 [logical-1] [INFO] [1773737269.675869348] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737269.8793781 [logical-1] [INFO] [1773737269.879076270] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737270.2751176 [logical-1] [INFO] [1773737270.274828421] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737270.4665294 [logical-1] [INFO] [1773737270.466138640] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737270.6386244 [logical-1] [INFO] [1773737270.638341004] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737270.8371181 [logical-1] [INFO] [1773737270.836757993] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737271.0011330 [logical-1] [INFO] [1773737271.000855407] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737271.1824059 [logical-1] [INFO] [1773737271.182114979] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773737287.1735923 [logical-1] [INFO] [1773737287.173024026] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
