1774272843.2618804 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-03-23-06-34-03-257481-ubuntu-11553
1774272843.2623949 [INFO] [launch]: Default logging verbosity is set to INFO
1774272843.3569276 [INFO] [logical-1]: process started with pid [11562]
1774272844.5712261 [logical-1] [INFO] [1774272844.570498622] [Ground]: ros2 node launch success:Ground!
1774272853.6652524 [logical-1] [INFO] [1774272853.664730201] [Ground]: G+02165-00395+00015 发送成功 → 飞行站已调用：G+02165-00395+00015服务
1774272855.3732951 [logical-1] [INFO] [1774272855.372998332] [Ground]: G+02167-00397+00017 发送成功 → 飞行站已调用：G+02167-00397+00017服务
1774272856.0723290 [logical-1] [INFO] [1774272856.072040711] [Ground]: G+02168-00398+00019 发送成功 → 飞行站已调用：G+02168-00398+00019服务
1774272907.2434142 [logical-1] [INFO] [1774272907.242904153] [Ground]: G+00145-02408+00028 发送成功 → 飞行站已调用：G+00145-02408+00028服务
1774272910.5144808 [logical-1] [INFO] [1774272910.514166634] [Ground]: G+00142-02410+00025 发送成功 → 飞行站已调用：G+00142-02410+00025服务
1774272913.4637740 [logical-1] [INFO] [1774272913.463461271] [Ground]: G+00143-02408+00029 发送成功 → 飞行站已调用：G+00143-02408+00029服务
1774272914.7501223 [logical-1] [INFO] [1774272914.749848754] [Ground]: G+00143-02405+00028 发送成功 → 飞行站已调用：G+00143-02405+00028服务
1774272915.3260362 [logical-1] [INFO] [1774272915.325702110] [Ground]: G+00141-02409+00029 发送成功 → 飞行站已调用：G+00141-02409+00029服务
1774272915.8616889 [logical-1] [INFO] [1774272915.861378315] [Ground]: G+00142-02409+00028 发送成功 → 飞行站已调用：G+00142-02409+00028服务
1774272916.3153243 [logical-1] [INFO] [1774272916.315019680] [Ground]: G+00143-02409+00029 发送成功 → 飞行站已调用：G+00143-02409+00029服务
1774273181.9160497 [logical-1] [INFO] [1774273181.915566165] [Ground]: G+01999+00001+00003 发送成功 → 飞行站已调用：G+01999+00001+00003服务
1774273181.9438539 [logical-1] [INFO] [1774273181.943587862] [Ground]: MCU2 send back: +01999+00001+00003
1774273188.0771239 [logical-1] [INFO] [1774273188.076732795] [Ground]: G+00002+00001+00003 发送成功 → 飞行站已调用：G+00002+00001+00003服务
1774273188.1026199 [logical-1] [INFO] [1774273188.102261785] [Ground]: MCU2 send back: +00002+00001+00003
1774273197.8808866 [logical-1] [INFO] [1774273197.880527590] [Ground]: G-02000+00002+00003 发送成功 → 飞行站已调用：G-02000+00002+00003服务
1774273197.9014075 [logical-1] [INFO] [1774273197.901120985] [Ground]: MCU2 send back: -02000+00002+00003
1774273202.9082499 [logical-1] [INFO] [1774273202.907973625] [Ground]: G+00002+02003+00003 发送成功 → 飞行站已调用：G+00002+02003+00003服务
1774273202.9368873 [logical-1] [INFO] [1774273202.936625494] [Ground]: MCU2 send back: +00002+02003+00003
1774273205.7418039 [logical-1] [INFO] [1774273205.741513306] [Ground]: G-00000-01998+00004 发送成功 → 飞行站已调用：G-00000-01998+00004服务
1774273205.7690780 [logical-1] [INFO] [1774273205.768706319] [Ground]: MCU2 send back: -00000-01998+00004
1774273207.2594922 [logical-1] [INFO] [1774273207.259186323] [Ground]: G+00001-01996+00002 发送成功 → 飞行站已调用：G+00001-01996+00002服务
1774273207.2906673 [logical-1] [INFO] [1774273207.290412401] [Ground]: MCU2 send back: +00001-01996+00002
1774273209.0867002 [logical-1] [INFO] [1774273209.086432748] [Ground]: G+00000+00001+00004 发送成功 → 飞行站已调用：G+00000+00001+00004服务
1774273209.1149380 [logical-1] [INFO] [1774273209.114659669] [Ground]: MCU2 send back: +00000+00001+00004
1774273209.7217824 [logical-1] [INFO] [1774273209.721455776] [Ground]: G-01999+00000+00003 发送成功 → 飞行站已调用：G-01999+00000+00003服务
1774273209.7446480 [logical-1] [INFO] [1774273209.744330482] [Ground]: MCU2 send back: -01999+00000+00003
1774273210.3864977 [logical-1] [INFO] [1774273210.386207277] [Ground]: G+02001+00002+00002 发送成功 → 飞行站已调用：G+02001+00002+00002服务
1774273210.4099011 [logical-1] [INFO] [1774273210.409638215] [Ground]: MCU2 send back: +02001+00002+00002
1774273210.9432378 [logical-1] [INFO] [1774273210.942888473] [Ground]: G+00000+02000+00003 发送成功 → 飞行站已调用：G+00000+02000+00003服务
1774273210.9732156 [logical-1] [INFO] [1774273210.972798605] [Ground]: MCU2 send back: +00000+02000+00003
1774273211.4912829 [logical-1] [INFO] [1774273211.490990538] [Ground]: G-01999+00001+00005 发送成功 → 飞行站已调用：G-01999+00001+00005服务
1774273211.5191739 [logical-1] [INFO] [1774273211.518913656] [Ground]: MCU2 send back: -01999+00001+00005
1774273211.9760020 [logical-1] [INFO] [1774273211.975662197] [Ground]: G-00000-01997+00003 发送成功 → 飞行站已调用：G-00000-01997+00003服务
1774273212.0032697 [logical-1] [INFO] [1774273212.002982191] [Ground]: MCU2 send back: -00000-01997+00003
1774273212.4761324 [logical-1] [INFO] [1774273212.475784006] [Ground]: G+01999+00002+00004 发送成功 → 飞行站已调用：G+01999+00002+00004服务
1774273212.4998589 [logical-1] [INFO] [1774273212.499550790] [Ground]: MCU2 send back: +01999+00002+00004
1774273212.9429135 [logical-1] [INFO] [1774273212.942640312] [Ground]: G-00000+02002+00004 发送成功 → 飞行站已调用：G-00000+02002+00004服务
1774273212.9672437 [logical-1] [INFO] [1774273212.966967914] [Ground]: MCU2 send back: -00000+02002+00004
1774273213.4356554 [logical-1] [INFO] [1774273213.435369757] [Ground]: G-01999+00003+00002 发送成功 → 飞行站已调用：G-01999+00003+00002服务
1774273213.4633811 [logical-1] [INFO] [1774273213.463095698] [Ground]: MCU2 send back: -01999+00003+00002
1774273213.8714697 [logical-1] [INFO] [1774273213.871195197] [Ground]: G-00001-02003+00006 发送成功 → 飞行站已调用：G-00001-02003+00006服务
1774273213.8994279 [logical-1] [INFO] [1774273213.899059677] [Ground]: MCU2 send back: -00001-02003+00006
1774273214.3391855 [logical-1] [INFO] [1774273214.338884500] [Ground]: G+02001+00001+00003 发送成功 → 飞行站已调用：G+02001+00001+00003服务
1774273214.3651261 [logical-1] [INFO] [1774273214.364811057] [Ground]: MCU2 send back: +02001+00001+00003
1774273214.8416257 [logical-1] [INFO] [1774273214.841331396] [Ground]: G+00000+02001+00004 发送成功 → 飞行站已调用：G+00000+02001+00004服务
1774273214.8712511 [logical-1] [INFO] [1774273214.870877285] [Ground]: MCU2 send back: +00000+02001+00004
1774273215.3617456 [logical-1] [INFO] [1774273215.361451441] [Ground]: G-01998+00001+00003 发送成功 → 飞行站已调用：G-01998+00001+00003服务
1774273215.3883500 [logical-1] [INFO] [1774273215.388005832] [Ground]: MCU2 send back: -01998+00001+00003
1774273215.8592031 [logical-1] [INFO] [1774273215.858897313] [Ground]: G+00002-01997+00003 发送成功 → 飞行站已调用：G+00002-01997+00003服务
1774273215.8848467 [logical-1] [INFO] [1774273215.884507054] [Ground]: MCU2 send back: +00002-01997+00003
1774273216.7393544 [logical-1] [INFO] [1774273216.739067319] [Ground]: G+01999+00002+00005 发送成功 → 飞行站已调用：G+01999+00002+00005服务
1774273216.7708435 [logical-1] [INFO] [1774273216.770512240] [Ground]: MCU2 send back: +01999+00002+00005
1774273220.2776020 [logical-1] [INFO] [1774273220.277276967] [Ground]: G-00000+00003+00004 发送成功 → 飞行站已调用：G-00000+00003+00004服务
1774273220.3050678 [logical-1] [INFO] [1774273220.304682276] [Ground]: MCU2 send back: -00000+00003+00004
1774274074.0108273 [logical-1] [INFO] [1774274074.010372794] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274074.0313752 [logical-1] [INFO] [1774274074.031018398] [Ground]: MCU2 send back: Takeoffok
1774274080.9436193 [logical-1] [INFO] [1774274080.943268812] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274080.9649990 [logical-1] [INFO] [1774274080.964701239] [Ground]: MCU2 send back: Takeoffok
1774274083.9715154 [logical-1] [INFO] [1774274083.971225352] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274083.9930341 [logical-1] [INFO] [1774274083.992744400] [Ground]: MCU2 send back: Takeoffok
1774274085.4495213 [logical-1] [INFO] [1774274085.449195292] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274085.4725132 [logical-1] [INFO] [1774274085.472141776] [Ground]: MCU2 send back: Takeoffok
1774274086.1789675 [logical-1] [INFO] [1774274086.178678278] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274086.2010739 [logical-1] [INFO] [1774274086.200664360] [Ground]: MCU2 send back: Takeoffok
1774274086.6454298 [logical-1] [INFO] [1774274086.645133588] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274086.6730428 [logical-1] [INFO] [1774274086.672750209] [Ground]: MCU2 send back: Takeoffok
1774274086.8701177 [logical-1] [INFO] [1774274086.869819177] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274086.8920834 [logical-1] [INFO] [1774274086.891782672] [Ground]: MCU2 send back: Takeoffok
1774274087.0710742 [logical-1] [INFO] [1774274087.070705994] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274087.0916781 [logical-1] [INFO] [1774274087.091359565] [Ground]: MCU2 send back: Takeoffok
1774274087.2909818 [logical-1] [INFO] [1774274087.290569388] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274087.3129375 [logical-1] [INFO] [1774274087.312679485] [Ground]: MCU2 send back: Takeoffok
1774274087.4553814 [logical-1] [INFO] [1774274087.455086180] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274087.4785748 [logical-1] [INFO] [1774274087.478302335] [Ground]: MCU2 send back: Takeoffok
1774274087.6690521 [logical-1] [INFO] [1774274087.668738599] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274087.6905577 [logical-1] [INFO] [1774274087.690136231] [Ground]: MCU2 send back: Takeoffok
1774274087.8396842 [logical-1] [INFO] [1774274087.839380970] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274087.8632979 [logical-1] [INFO] [1774274087.862995897] [Ground]: MCU2 send back: Takeoffok
1774274092.8310354 [logical-1] [INFO] [1774274092.830692035] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274092.8546488 [logical-1] [INFO] [1774274092.854383633] [Ground]: MCU2 send back: Takeoffok
1774274093.8957009 [logical-1] [INFO] [1774274093.895365605] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774274093.9124396 [logical-1] [INFO] [1774274093.912110999] [Ground]: MCU2 send back: Takeoffok
