1773836629.1798601 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-03-18-05-23-49-174873-ubuntu-4119
1773836629.1804247 [INFO] [launch]: Default logging verbosity is set to INFO
1773836629.3558154 [INFO] [logical-1]: process started with pid [4128]
1773836632.1739357 [logical-1] [INFO] [1773836632.173588245] [Ground]: ros2 node launch success:Ground!
1773836634.9467974 [logical-1] [INFO] [1773836634.946396852] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773836638.7591803 [logical-1] [INFO] [1773836638.758850660] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773836671.9108763 [logical-1] [INFO] [1773836671.910562213] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773837059.6873159 [logical-1] [INFO] [1773837059.686859102] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773837077.2651613 [logical-1] [INFO] [1773837077.264722102] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773837126.0544207 [logical-1] [INFO] [1773837126.054090094] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773840208.3928971 [logical-1] [INFO] [1773840208.392374504] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773840237.1694269 [logical-1] [INFO] [1773840237.169126618] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840237.8697336 [logical-1] [INFO] [1773840237.869440167] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840238.2291753 [logical-1] [INFO] [1773840238.228835451] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840238.4059024 [logical-1] [INFO] [1773840238.405584179] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840239.5513959 [logical-1] [INFO] [1773840239.551108188] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840243.5318215 [logical-1] [INFO] [1773840243.531473200] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840244.6693716 [logical-1] [INFO] [1773840244.669039324] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840246.5921638 [logical-1] [INFO] [1773840246.591876048] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840250.5688632 [logical-1] [INFO] [1773840250.568497731] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840253.1427629 [logical-1] [INFO] [1773840253.142416656] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840253.3503034 [logical-1] [INFO] [1773840253.349923389] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840253.5417607 [logical-1] [INFO] [1773840253.541428123] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840253.7261708 [logical-1] [INFO] [1773840253.725836896] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840253.8739901 [logical-1] [INFO] [1773840253.873689507] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840254.4688053 [logical-1] [INFO] [1773840254.468491477] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773840254.6443896 [logical-1] [INFO] [1773840254.644158110] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773840255.1863165 [logical-1] [INFO] [1773840255.186017496] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840255.3530285 [logical-1] [INFO] [1773840255.352755139] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840255.5199244 [logical-1] [INFO] [1773840255.519635645] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840255.6864777 [logical-1] [INFO] [1773840255.686128422] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840255.8602841 [logical-1] [INFO] [1773840255.860006096] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773840687.5118852 [logical-1] [INFO] [1773840687.511393150] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773840722.1729095 [logical-1] [INFO] [1773840722.172621120] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773840732.0238447 [logical-1] [INFO] [1773840732.023554334] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773841376.2907155 [INFO] [logical-1]: process has finished cleanly [pid 4128]
