1775393495.3284717 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-04-05-05-51-35-323668-ubuntu-28422
1775393495.3287966 [INFO] [launch]: Default logging verbosity is set to INFO
1775393495.3932841 [INFO] [myMain-1]: process started with pid [28424]
1775393495.3934629 [INFO] [navNode-2]: process started with pid [28426]
1775393495.7080104 [navNode-2] [INFO] [1775393495.707703535] [navNode]: paths: [
1775393495.7086039 [navNode-2]   {"x": 0.00, "y": 0.00, "z": 0.70, "label": "TakeOff", "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7088993 [navNode-2]   {"x":-0.25, "y": 0.75, "z": 0.80, "label": "A6"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7091246 [navNode-2]   {"x":-0.25, "y": 0.75, "z": 1.20, "label": "A3"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7098193 [navNode-2]   {"x":-0.25, "y": 1.25, "z": 1.20, "label": "A2"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7100766 [navNode-2]   {"x":-0.25, "y": 1.25, "z": 0.80, "label": "A5"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7107666 [navNode-2]   {"x":-0.25, "y": 1.75, "z": 0.80, "label": "A4"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7110388 [navNode-2]   {"x":-0.25, "y": 1.75, "z": 1.20, "label": "A1"     , "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7115707 [navNode-2]   {"x":-0.25, "y": 2.00, "z": 0.70, "label": "UpSide1", "qrcode": "", "label2": ""       , "qrcode2": "" },
1775393495.7118483 [navNode-2]   {"x": 0.75, "y": 2.00, "z": 0.70, "label": "LandPos", "qrcode": "", "label2": ""       , "qrcode2": "" }
1775393495.7120602 [navNode-2] ]
1775393676.5278900 [myMain-1] [INFO] [1775393676.527363009] [Ground]: MCU2 send back: Gdoing*
1775393676.6484685 [navNode-2] [INFO] [1775393676.648150814] [navNode]: MCU2 send back: Gdoing*
1775393676.6489213 [myMain-1] [INFO] [1775393676.648777580] [Ground]: MCU2 send back: Gdoing*
1775393676.7676549 [myMain-1] [INFO] [1775393676.767359291] [Ground]: MCU2 send back: Gdoing*
1775393676.7679477 [navNode-2] [INFO] [1775393676.767416083] [navNode]: MCU2 send back: Gdoing*
1775393676.9013782 [navNode-2] [INFO] [1775393676.901054517] [navNode]: MCU2 send back: Gdoing*
1775393676.9043107 [myMain-1] [INFO] [1775393676.903963336] [Ground]: MCU2 send back: Gdoing*
1775393677.0111635 [navNode-2] [INFO] [1775393677.010903696] [navNode]: MCU2 send back: Gdoing*
1775393677.0115192 [myMain-1] [INFO] [1775393677.011197240] [Ground]: MCU2 send back: Gdoing*
1775393677.1536305 [navNode-2] [INFO] [1775393677.153308470] [navNode]: MCU2 send back: Gdoing*
1775393677.1539948 [myMain-1] [INFO] [1775393677.153665978] [Ground]: MCU2 send back: Gdoing*
1775393677.2825854 [navNode-2] [INFO] [1775393677.282311544] [navNode]: MCU2 send back: Gdoing*
1775393677.2831514 [myMain-1] [INFO] [1775393677.283001437] [Ground]: MCU2 send back: Gdoing*
1775393677.3688343 [myMain-1] [INFO] [1775393677.368184858] [Ground]: MCU2 send back: Gdoing*
1775393677.3701601 [navNode-2] [INFO] [1775393677.369854203] [navNode]: MCU2 send back: Gdoing*
1775393677.4889607 [myMain-1] [INFO] [1775393677.488643087] [Ground]: MCU2 send back: Gdoing*
1775393677.4893174 [navNode-2] [INFO] [1775393677.489153128] [navNode]: MCU2 send back: Gdoing*
1775393677.6251256 [myMain-1] [INFO] [1775393677.624756298] [Ground]: MCU2 send back: Gdoing*
1775393677.6254020 [navNode-2] [INFO] [1775393677.624785351] [navNode]: MCU2 send back: Gdoing*
1775393677.7342882 [navNode-2] [INFO] [1775393677.734015579] [navNode]: MCU2 send back: Gdoing*
1775393677.7346551 [myMain-1] [INFO] [1775393677.734203013] [Ground]: MCU2 send back: Gdoing*
1775393677.8494866 [navNode-2] [INFO] [1775393677.849183923] [navNode]: MCU2 send back: Gdoing*
1775393677.8498929 [myMain-1] [INFO] [1775393677.849784682] [Ground]: MCU2 send back: Gdoing*
1775393677.9704261 [myMain-1] [INFO] [1775393677.969580640] [Ground]: MCU2 send back: Gdoing*
1775393677.9708731 [navNode-2] [INFO] [1775393677.969614510] [navNode]: MCU2 send back: Gdoing*
1775393678.1059320 [navNode-2] [INFO] [1775393678.105648110] [navNode]: MCU2 send back: Gdoing*
1775393678.1062627 [myMain-1] [INFO] [1775393678.106023832] [Ground]: MCU2 send back: Gdoing*
1775393678.1134343 [myMain-1] [INFO] [1775393678.113179824] [Ground]: H+05558+01893+05561 发送成功 → 飞行站已调用：H+05558+01893+05561服务
1775393678.1731174 [navNode-2] [INFO] [1775393678.172655311] [navNode]: MCU2 send back: +05558+01893+05561
1775393678.1735246 [myMain-1] [INFO] [1775393678.172653461] [Ground]: MCU2 send back: +05558+01893+05561
1775393678.2422266 [myMain-1] [INFO] [1775393678.241887190] [Ground]: MCU2 send back: Gdoing*
1775393678.2426157 [navNode-2] [INFO] [1775393678.242079786] [navNode]: MCU2 send back: Gdoing*
1775393678.3299851 [myMain-1] [INFO] [1775393678.329579601] [Ground]: MCU2 send back: Gdoing*
1775393678.3302855 [navNode-2] [INFO] [1775393678.329815265] [navNode]: MCU2 send back: Gdoing*
1775393678.4506075 [myMain-1] [INFO] [1775393678.450234319] [Ground]: MCU2 send back: Gdoing*
1775393678.4510148 [navNode-2] [INFO] [1775393678.450653240] [navNode]: MCU2 send back: Gdoing*
1775393678.5865927 [navNode-2] [INFO] [1775393678.586325556] [navNode]: MCU2 send back: Gdoing*
1775393678.5873737 [myMain-1] [INFO] [1775393678.587141365] [Ground]: MCU2 send back: Gdoing*
1775393678.7248621 [navNode-2] [INFO] [1775393678.724609513] [navNode]: MCU2 send back: Gdoing*
1775393678.7273843 [myMain-1] [INFO] [1775393678.727033473] [Ground]: MCU2 send back: Gdoing*
1775393678.8104665 [navNode-2] [INFO] [1775393678.810178998] [navNode]: MCU2 send back: Gdoing*
1775393678.8108470 [myMain-1] [INFO] [1775393678.810219622] [Ground]: MCU2 send back: Gdoing*
1775393678.9329951 [myMain-1] [INFO] [1775393678.932606006] [Ground]: MCU2 send back: Gdoing*
1775393678.9340091 [navNode-2] [INFO] [1775393678.933599768] [navNode]: MCU2 send back: Gdoing*
1775393679.0663762 [navNode-2] [INFO] [1775393679.066128196] [navNode]: MCU2 send back: Gdone*
1775393679.0667334 [navNode-2] [INFO] [1775393679.066449370] [navNode]: mcu:已到目标点-[none]
1775393679.0671716 [myMain-1] [INFO] [1775393679.067066201] [Ground]: MCU2 send back: Gdone*
1775393679.4115624 [navNode-2] [INFO] [1775393679.411197112] [navNode]: MCU2 send back: Gdone*
1775393679.4118979 [navNode-2] [INFO] [1775393679.411545774] [navNode]: mcu:已到目标点-[none]
1775393679.4126523 [myMain-1] [INFO] [1775393679.412501306] [Ground]: MCU2 send back: Gdone*
1775393680.4326069 [myMain-1] [INFO] [1775393680.432304822] [Ground]: MCU2 send back: Gdone*
1775393680.4329567 [navNode-2] [INFO] [1775393680.432774759] [navNode]: MCU2 send back: Gdone*
1775393680.4333096 [navNode-2] [INFO] [1775393680.433098424] [navNode]: mcu:已到目标点-[none]
1775393681.2850959 [myMain-1] [INFO] [1775393681.284795732] [Ground]: H+06399+04601+05448 发送成功 → 飞行站已调用：H+06399+04601+05448服务
1775393681.3108006 [navNode-2] [INFO] [1775393681.310398509] [navNode]: MCU2 send back: +06399+04601+05448
1775393681.3115785 [myMain-1] [INFO] [1775393681.311254078] [Ground]: MCU2 send back: +06399+04601+05448
1775393681.3943138 [myMain-1] [INFO] [1775393681.394017603] [Ground]: MCU2 send back: Gdoing*
1775393681.3946025 [navNode-2] [INFO] [1775393681.394181782] [navNode]: MCU2 send back: Gdoing*
1775393681.5132103 [navNode-2] [INFO] [1775393681.512857300] [navNode]: MCU2 send back: Gdoing*
1775393681.5140195 [myMain-1] [INFO] [1775393681.513835316] [Ground]: MCU2 send back: Gdoing*
1775393681.6336908 [navNode-2] [INFO] [1775393681.633388037] [navNode]: MCU2 send back: Gdoing*
1775393681.6341112 [myMain-1] [INFO] [1775393681.633818574] [Ground]: MCU2 send back: Gdoing*
1775393681.7536891 [myMain-1] [INFO] [1775393681.753363557] [Ground]: MCU2 send back: Gdoing*
1775393681.7542937 [navNode-2] [INFO] [1775393681.754055107] [navNode]: MCU2 send back: Gdoing*
1775393681.8740509 [navNode-2] [INFO] [1775393681.873738730] [navNode]: MCU2 send back: Gdoing*
1775393681.8745241 [myMain-1] [INFO] [1775393681.874420071] [Ground]: MCU2 send back: Gdoing*
1775393681.9946895 [navNode-2] [INFO] [1775393681.994391804] [navNode]: MCU2 send back: Gdoing*
1775393681.9953842 [myMain-1] [INFO] [1775393681.995184650] [Ground]: MCU2 send back: Gdoing*
1775393682.1153250 [navNode-2] [INFO] [1775393682.115035624] [navNode]: MCU2 send back: Gdoing*
1775393682.1157012 [myMain-1] [INFO] [1775393682.115353584] [Ground]: MCU2 send back: Gdoing*
