1774159086.1277676 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-03-21-22-58-06-123988-ubuntu-5422
1774159086.1281586 [INFO] [launch]: Default logging verbosity is set to INFO
1774159086.1957986 [INFO] [logical-1]: process started with pid [5425]
1774159086.8303165 [logical-1] [INFO] [1774159086.829931958] [Ground]: ros2 node launch success:Ground!
1774159195.3690917 [logical-1] [INFO] [1774159195.368683739] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774159649.4290442 [logical-1] [INFO] [1774159649.428487084] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1774159658.7476103 [logical-1] [INFO] [1774159658.747306698] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159658.8936477 [logical-1] [INFO] [1774159658.893357223] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159659.0619392 [logical-1] [INFO] [1774159659.061082812] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159659.3781385 [logical-1] [INFO] [1774159659.377793730] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159659.5199671 [logical-1] [INFO] [1774159659.519602578] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159659.7432024 [logical-1] [INFO] [1774159659.742788744] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159659.9029078 [logical-1] [INFO] [1774159659.902622079] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159660.0767257 [logical-1] [INFO] [1774159660.076465820] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159660.2789526 [logical-1] [INFO] [1774159660.278610297] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159660.6802065 [logical-1] [INFO] [1774159660.679902987] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159660.8552291 [logical-1] [INFO] [1774159660.854929726] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159661.0226321 [logical-1] [INFO] [1774159661.022305894] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159661.1863070 [logical-1] [INFO] [1774159661.185947328] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159661.3475339 [logical-1] [INFO] [1774159661.347245376] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159661.5128653 [logical-1] [INFO] [1774159661.512555072] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159661.6891675 [logical-1] [INFO] [1774159661.688786989] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159661.8274593 [logical-1] [INFO] [1774159661.827070918] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159662.4842031 [logical-1] [INFO] [1774159662.483889774] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159662.6657181 [logical-1] [INFO] [1774159662.665416059] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159663.0891874 [logical-1] [INFO] [1774159663.088828008] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159663.2537963 [logical-1] [INFO] [1774159663.253444335] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159663.4728668 [logical-1] [INFO] [1774159663.472545397] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774159663.6584842 [logical-1] [INFO] [1774159663.658180529] [Ground]: land 发送成功 → 飞行站已调用：land服务
1774160294.9727728 [logical-1] [INFO] [1774160294.972322542] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
