1773750969.1257806 [INFO] [launch]: All log files can be found below /home/focal/Desktop/2024_GroundStation/run_log/2026-03-17-05-36-09-120523-ubuntu-4345
1773750969.1263468 [INFO] [launch]: Default logging verbosity is set to INFO
1773750969.3647742 [INFO] [logical-1]: process started with pid [4353]
1773750973.1593161 [logical-1] [INFO] [1773750973.158874888] [Ground]: ros2 node launch success:Ground!
1773750977.3037124 [logical-1] [INFO] [1773750977.303411449] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773750982.4244800 [logical-1] [INFO] [1773750982.424086021] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773750983.1656692 [logical-1] [INFO] [1773750983.165185727] [Ground]: takeoff 发送成功 → 飞行站已调用：takeoff服务
1773750984.3872337 [logical-1] [INFO] [1773750984.386820932] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750985.2133040 [logical-1] [INFO] [1773750985.212929139] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750985.7822354 [logical-1] [INFO] [1773750985.781786133] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750986.2633266 [logical-1] [INFO] [1773750986.263033795] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750986.7554147 [logical-1] [INFO] [1773750986.754937439] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750987.1680925 [logical-1] [INFO] [1773750987.167786730] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750987.3634703 [logical-1] [INFO] [1773750987.363082901] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750987.5470879 [logical-1] [INFO] [1773750987.546666840] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750987.7692995 [logical-1] [INFO] [1773750987.769020118] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750987.9892476 [logical-1] [INFO] [1773750987.988911615] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750988.1799083 [logical-1] [INFO] [1773750988.179604412] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750988.3728595 [logical-1] [INFO] [1773750988.372558120] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773750988.5894058 [logical-1] [INFO] [1773750988.589095536] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773751190.3005097 [logical-1] [INFO] [1773751190.299905678] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773751190.4688177 [logical-1] [INFO] [1773751190.468505129] [Ground]: land 发送成功 → 飞行站已调用：land服务
1773751190.6449287 [logical-1] [INFO] [1773751190.644644396] [Ground]: land 发送成功 → 飞行站已调用：land服务
